text,text_clean,sentimen,emosi,created_at,uid,uniqueId,videoWebUrl,cid,avatarThumbnail
serah lu!,serah,netral,netral,2025-01-08 14:09:17+00:00,6740361168336765954,sugia2r,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457546488894374674,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/71a0841af688ba61a8d9a66571a9b9c3~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8d2c5183&x-expires=1746172800&x-signature=ztBohOzB7grb%2BqdKAQANgZNVBRg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
kon!,kon,netral,netral,2025-01-08 09:16:33+00:00,7438240220899886136,omken321,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457470987401102086,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/74be79be0c42306b5d8a9e64c77dd53a~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=979688c9&x-expires=1746176400&x-signature=V%2F3G0Nvmtxk6FXLuIxy3DKTLlOU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
saya tidak setujuh,tujuh,netral,netral,2025-01-08 09:35:55+00:00,7359829939388548102,sultan.evos,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457476014978630407,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/89ebf65b06f255bbf44aa15dadb1041e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f346eb37&x-expires=1746176400&x-signature=%2FHIPlvcmR8FZ14zO2KerBZcpHJI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
_anjay22_💜 so far so good 💜,anjay so far so good,positif,netral,2025-01-08 09:05:10+00:00,7433491598288241672,billacantik_01,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457468049815257862,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/98914cc017da2e09064cfddd2aa6d194~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=6b09902f&x-expires=1746176400&x-signature=JEWoL8lXH7N3iPVenK37EuyjvI8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
sak karepmuuu,sak karepmuuu,netral,netral,2025-01-08 15:16:55+00:00,7001704529192322075,radanii__,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457563911953761032,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f2070659e5cb61711658eb6c9aa5f495~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=f8cb1f7c&x-expires=1746172800&x-signature=sjyENOBuRjAQnTCby%2BqFNYGjUfE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
tanggung jawab tu pelatih Timnas baru kalah 5_1,tanggung jawab tu latih timnas baru kalah,negatif,netral,2025-03-21 23:22:30+00:00,7427684864726860805,anwar.odon,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7484407060421001991,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/248e7098eef4d3f6c89d70d856bbbad8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=628491c5&x-expires=1746172800&x-signature=0zCDlR2MZ2JMgFV3KGfU%2FdM2lkA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
BALIKIN STY GAKKKK!!!!!,balikin sty gakkkk,negatif,netral,2025-03-23 10:30:17+00:00,7471052236170134535,mishanafans0,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7484950296965563143,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/6b72758e173821db2ca3e5a26188c83e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1590a1cf&x-expires=1746172800&x-signature=GI47DVLLWsTwhZjwgHHkRUpWsis%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
"ikutin aja pak ketum yang terbaik buat indonesa
semngat pak Erik",ikutin pak tum baik buat indonesa semngat pak erik,netral,netral,2025-01-08 12:10:04+00:00,6572656905306341377,kasepmustofa,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457515726656586502,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/114d918f6948971c1fe0e7c35caa2b9f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=53c218be&x-expires=1746176400&x-signature=d7ptH5COCJe6co17fbcD6F07CiE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
percaya aja ama pak erik jangan bilang erik out tar kalo gitu akan masuk ke era kegelap,percaya ama pak erik jangan bilang erik out tar gitu masuk era gelap,netral,netral,2025-01-08 08:33:34+00:00,7046519997430301698,marz942,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457459945194685192,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b241974ec6f45ff5267228d936fbdad1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9fc48283&x-expires=1746172800&x-signature=0c5%2FtnT3c6SMqTHHnRQ8wSv3VOA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
ancur dah timnas gw,ancur timnas,netral,netral,2025-01-08 09:05:11+00:00,7356631612510176261,sktt117,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457468051844530949,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7577eeaaa482748bfe20030538a7b2a5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=6782717a&x-expires=1746176400&x-signature=qZ%2FtVgTzeGfHzlrX1%2B9EaygZc1M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
ini patrick temen nya si sepongbob kan yaa,patrick temen sepongbob yaa,netral,netral,2025-01-08 11:18:53+00:00,6822627164798862338,hoppus188,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457502545608491794,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/705d2781979a985b1cceadaba69c14f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=6747d1f4&x-expires=1746176400&x-signature=TvXpKfsDfVTxsX8B6npD7pGbpv0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
buak AE pelatih Iki nyerimpeti moto😂,buak ae latih iki nyerimpeti moto,netral,netral,2025-03-20 11:22:57+00:00,7036769004573623297,ronaltofu10,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7483850536510030597,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/de936377b9fe87fe3ae1f91a19fdb18a~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=af643a9d&x-expires=1746172800&x-signature=l%2BCFz2Ib%2FckltIDFObtsr0hfSj8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
😌😌😌karepmu!,karepmu,netral,netral,2025-01-08 11:01:48+00:00,6857070684369011714,sharonkim37,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457498142813717256,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/f1b642de3e703920df2d9fcce54ed6f5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=5b51c92d&x-expires=1746176400&x-signature=sW%2F7Yuptp9PArcsSl%2F%2FSnyQJ3i8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
balikin STY nggaak!! 🫵🏻,balikin sty nggaak,negatif,netral,2025-03-21 09:34:37+00:00,7267423286094922770,llouves.killxzyy,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7484193786270008082,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/38e58765dd68637ccd8fa32e7490ee37~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=a57637dc&x-expires=1746172800&x-signature=QJAjMQjO08KpHFL1ZVGUFQ%2Fqc9o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
jadi pemain Indonesia harus lebih besar dari pelatih kalo pelatihny ga nurut pemain PPSI bkln mecat pelatih,main indonesia besar latih pelatihny nurut main ppsi bkln mecat latih,netral,netral,2025-01-08 16:04:19+00:00,6983253012325368834,p_o_k_e12,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457576116048724743,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7ef0dd66&x-expires=1746172800&x-signature=EwO6NT3tGYLue5UjuK0Bl61pm30%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
☺️,,netral,netral,2025-01-13 08:19:42+00:00,6942712017677452290,h4fizh08,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7459311771745305362,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/60e0d7d3d86a97f1c5d21df94a4d9d1f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=9d5b51b0&x-expires=1746172800&x-signature=eiNQ3jOmtX%2B2JiJdW4ukJvXeH34%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
STY,sty,netral,netral,2025-03-23 11:47:50+00:00,7191735785312748571,bandit..merpati7,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7484970276187423489,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3c2b8d3b0af0f92aa9075008bd7e0701~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9bdedca0&x-expires=1746172800&x-signature=Gxc2SbT6lYg%2FjaVtT0pq24MT7K4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
SpongeBob gk lu ajak trik,spongebob ajak trik,netral,netral,2025-01-08 09:48:39+00:00,7244752686058013701,hahajgg,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457479267442672390,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9c35ca016ee681a9c29aac356f993b68~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=ee114285&x-expires=1746176400&x-signature=5vnHom9repkU1FYwdQL9hn%2FXwoA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
mau jadi pemain apa pelatih?,mau main latih,netral,netral,2025-01-08 16:50:07+00:00,6915377271508009986,zaki_mkhls07,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457587901498786568,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b9deb37a98e52309400996a8f8531c85~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a7b97a09&x-expires=1746172800&x-signature=6q%2BNBgRz6hpsANF0rB3hnSHixeo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
butut tukang main s0lot ko di jadiin pelatih,butut tukang main slot ko jadiin latih,netral,netral,2025-01-10 02:51:49+00:00,7215651265739998235,anggaarbasaputra,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7458114000069755653,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/b3108dce2a9280a73495955cb2b84ede~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5a8648c7&x-expires=1746172800&x-signature=N4noikLJvyNyZs4JFLVy4QgXMwI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
tukang judi aj bngga😹,tukang judi aj bngga,netral,netral,2025-01-09 14:42:53+00:00,7454036922974618630,septii_77,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457926162481611525,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/03c55464a70cc9c576e6662f2ba327fd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=06ece1c1&x-expires=1746172800&x-signature=oCPrTBhSP2Rl3z%2FLKGB4X3B2enU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
🥰🥰🥰,,netral,netral,2025-02-13 05:33:23+00:00,7467914743022437392,apa.saja3382,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7470772568028054280,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ada6ceaaf10287dfdf8e451cc5b490f5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b074bf35&x-expires=1746172800&x-signature=mtzWkHWINyIJ85QWzTwC4k%2BOgAY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
yang gak terima Patrick Kluivert sini kumpul,terima patrick kluivert sini kumpul,netral,netral,2025-01-08 19:57:28+00:00,7262730077301392390,suoyuu_,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457636141874348808,https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7a360a5f3ea60b4f924d7c6b5a905810~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ea15c48b&x-expires=1746172800&x-signature=5qou85uu0xuhuLE4CgNNpUnPls4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
selamat datang sir,selamat datang sir,positif,netral,2025-01-11 07:57:27+00:00,7385927118208648198,1centdream7,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7458563893003256594,https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7386105343390023685~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=41a353c2&x-expires=1746172800&x-signature=QSrlqEl%2BRssKsDPBRxuHr%2BkfhRQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
kembalikan sty,kembali sty,netral,netral,2025-03-21 21:31:31+00:00,7173901569246888965,renitareren443,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7484378349071565585,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/bc8a08f04f2ada18522d289ac0e35f20~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ef01240&x-expires=1746172800&x-signature=rtNOMq2GcLnWBrdSwapIO7v2XW0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
mari kita lihat,mari lihat,netral,netral,2025-01-08 11:32:57+00:00,6898256069312021505,ilhamdn.n,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457506191959229191,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4c658eb312f9823fb4be3b3a46638203~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f932c452&x-expires=1746176400&x-signature=t6UE0APjBjczKWxtoDmm0DQyz%2FA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
dah lahh😭😭,lahh,netral,netral,2025-01-08 08:32:57+00:00,7282550055805617153,rjmahendra20,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457459795944112904,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/08b87067327da7be8b110f95cd817689~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2bfc3ddd&x-expires=1746172800&x-signature=xLZwhXAWm4HeBsjiV0SUDTyQdBo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
terus masalahnya apa bang?,terus masalah bang,netral,netral,2025-01-10 05:39:53+00:00,6981998796440847362,lisnaagist23,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7458157345173979922,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/0aa0543b9d7dff21090c9d35d9d05125~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=dec24527&x-expires=1746172800&x-signature=YMA%2B2ag531CUgS%2FrFZqcY8C7lRM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
we believe erick tohir ....lanjutkan pak !!!,we believe erick tohir lanjut pak,netral,netral,2025-01-08 23:35:51+00:00,7171539592846459931,user6616321371238,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457692271271592711,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7ef0dd66&x-expires=1746172800&x-signature=EwO6NT3tGYLue5UjuK0Bl61pm30%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
kocak udah di kasih yang udah pasti malah di buang,kocak kasih pasti malah buang,netral,netral,2025-01-09 00:53:59+00:00,6905628522276439042,odie_yoga,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457712418568700688,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8e3d385f59763e03b836f4055ffae578~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=94703f4d&x-expires=1746172800&x-signature=5Ptipah5lyQNmGVvOmnf48OIqxI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
KEBANYAKAN YG KOMEN FANS STY ITU CEWEK² YG FOMO DOANG YAA🤣,banyak komen fans sty cewek fomo doang yaa,negatif,netral,2025-01-08 10:46:08+00:00,7276374530154660869,ry29651,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457494077754409736,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7276374692804919301~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=89140b59&x-expires=1746176400&x-signature=oeDpSU99dKRIkYCwlRcy%2BGUpySw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
mbung,mbung,netral,netral,2025-01-08 10:29:39+00:00,7403202467779494917,enjoymyblues,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457489878189081351,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/37f249887d08715f01808b2afcd29097~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e44778cc&x-expires=1746176400&x-signature=rJIXRxIKIBZWh%2BEdSFIvGW2eeEI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
#patrickout,patrickout,netral,netral,2025-01-08 10:46:46+00:00,6708295703024272386,minder_riz,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457494229393572614,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/57c7aa3ec26196c91c959961b3d48e31~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8133b3ed&x-expires=1746176400&x-signature=rFPeWl3Fd8%2BznAv9pTN%2FLRBGczI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
emang gk rugi sty di pecat,emang rugi sty pecat,negatif,netral,2025-01-09 17:52:30+00:00,7372562992880616453,dira.dira1463,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457975016212480774,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7394935183338110981~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d16c7762&x-expires=1746172800&x-signature=JDonRagP6%2FWhsPw7Sf1QFZB12Y8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
ikhlasin aja gasy GK bisa di perdagangkan .. ikhlasin udah tu ber debat nya,ikhlasin gasy dagang ikhlasin tu ber debat,netral,netral,2025-01-08 09:40:21+00:00,6505678861161988098,racgty,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457477101948830469,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/be275397de5e5540a5f3dc0f6ae41fb3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e9d28097&x-expires=1746176400&x-signature=CGP%2BuYI6iiWt64wADvdOVw97c%2Bc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
tim krocoo...,tim krocoo,netral,netral,2025-04-25 20:25:48+00:00,7217411289583698946,idanhungkul14,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7497349484969329415,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ecf7fc96ef5141bc0cc5c4f585d1aae0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8de90c6a&x-expires=1746172800&x-signature=5ICwsQvInidYwWH7eitUvKoK3d4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva
bot ituu,bot ituu,netral,netral,2025-01-09 03:04:05+00:00,7087931476855292929,bayzbayzbayz,https://www.tiktok.com/@timnasindonesia/video/7457458087847398662,7457746114461877000,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0b91ecfcb4742e977dad51033e37130b~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=7f2f161d&x-expires=1746172800&x-signature=9maOuWO0ZNoMBLjnvlKHpp13Lmo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
